name,pokedex_number,type,weakness,height,weight,ability,genders,hp,attack,defense,special_attack,special_defense,speed
Kecleon,#0352,Normal,Fighting,"3' 03""",48.5 lbs,Color Change,"['male', 'female']",4,6,5,4,8,3
Zapdos,#0145,"['Electric', 'Flying']","['Ice', 'Rock']","5' 03""",116.0 lbs,Pressure,Unknown,6,6,5,8,6,6
Lickitung,#0108,Normal,Fighting,"3' 11""",144.4 lbs,"['Oblivious', 'Own Tempo']","['male', 'female']",6,4,5,4,5,2
Dartrix,#0723,"['Grass', 'Flying']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock']","2' 04""",35.3 lbs,Overgrow,"['male', 'female']",5,5,5,5,5,4
Empoleon,#0395,"['Water', 'Steel']","['Electric', 'Fighting', 'Ground']","5' 07""",186.3 lbs,Torrent,"['male', 'female']",5,6,6,7,6,4
Panpour,#0515,Water,"['Grass', 'Electric']","2' 00""",29.8 lbs,Gluttony,"['male', 'female']",3,4,3,4,3,4
Timburr,#0532,Fighting,"['Psychic', 'Flying', 'Fairy']","2' 00""",27.6 lbs,"['Guts', 'Sheer Force']","['male', 'female']",5,5,4,2,3,3
Cufant,#0878,Steel,"['Fire', 'Fighting', 'Ground']","3' 11""",220.5 lbs,Sheer Force,"['male', 'female']",5,5,3,3,3,3
Ekans,#0023,Poison,"['Psychic', 'Ground']","6' 07""",15.2 lbs,"['Shed Skin', 'Intimidate']","['male', 'female']",3,4,3,3,4,4
Eiscue,#0875,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","4' 07""",196.2 lbs,Ice Face,"['male', 'female']",5,5,7,4,6,3
Klawf,#0950,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","4' 03""",174.2 lbs,"['Shell Armor', 'Anger Shell']","['male', 'female']",5,6,7,3,4,5
Patrat,#0504,Normal,Fighting,"1' 08""",25.6 lbs,"['Keen Eye', 'Run Away']","['male', 'female']",3,4,3,3,3,3
Chingling,#0433,Psychic,"['Ghost', 'Dark', 'Bug']","0' 08""",1.3 lbs,Levitate,"['male', 'female']",3,2,3,4,3,3
Dragalge,#0691,"['Poison', 'Dragon']","['Psychic', 'Ground', 'Ice', 'Dragon']","5' 11""",179.7 lbs,"['Poison Point', 'Poison Touch']","['male', 'female']",4,5,6,6,8,3
Tentacool,#0072,"['Water', 'Poison']","['Psychic', 'Electric', 'Ground']","2' 11""",100.3 lbs,"['Clear Body', 'Liquid Ooze']","['male', 'female']",3,3,3,3,6,5
Vikavolt,#0738,"['Bug', 'Electric']","['Fire', 'Rock']","4' 11""",99.2 lbs,Levitate,"['male', 'female']",5,5,6,9,5,3
Honchkrow,#0430,"['Dark', 'Flying']","['Fairy', 'Electric', 'Ice', 'Rock']","2' 11""",60.2 lbs,"['Insomnia', 'Super Luck']","['male', 'female']",6,8,4,7,4,5
Froakie,#0656,Water,"['Grass', 'Electric']","1' 00""",15.4 lbs,Torrent,"['male', 'female']",3,4,3,4,3,5
Naganadel,#0804,"['Poison', 'Dragon']","['Psychic', 'Ground', 'Ice', 'Dragon']","11' 10""",330.7 lbs,Beast Boost,Unknown,5,5,5,8,5,8
Geodude,#0074,"['Rock', 'Ground']","['Steel', 'Fighting', 'Water', 'Ice', 'Grass', 'Ground']","1' 04""",44.1 lbs,"['Rock Head', 'Sturdy']","['male', 'female']",3,5,6,2,2,2
Sirfetch’d,#0865,Fighting,"['Psychic', 'Flying', 'Fairy']","2' 07""",257.9 lbs,Steadfast,"['male', 'female']",4,8,6,5,4,4
Wugtrio,#0961,Water,"['Grass', 'Electric']","3' 11""",11.9 lbs,"['Gooey', 'Rattled']","['male', 'female']",3,6,3,3,5,8
Whirlipede,#0544,"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","3' 11""",129.0 lbs,"['Swarm', 'Poison Point']","['male', 'female']",3,4,6,3,5,3
Electrike,#0309,Electric,Ground,"2' 00""",33.5 lbs,"['Static', 'Lightning Rod']","['male', 'female']",3,3,3,4,3,4
Togepi,#0175,Fairy,"['Steel', 'Poison']","1' 00""",3.3 lbs,"['Serene Grace', 'Hustle']","['male', 'female']",3,2,4,3,4,2
Thundurus,#0642,"['Electric', 'Flying']","['Ice', 'Rock']","4' 11""",134.5 lbs,Prankster,male,5,7,5,8,5,7
Huntail,#0367,Water,"['Grass', 'Electric']","5' 07""",59.5 lbs,Swift Swim,"['male', 'female']",4,7,7,6,5,4
Swoobat,#0528,"['Psychic', 'Flying']","['Ghost', 'Dark', 'Electric', 'Ice', 'Rock']","2' 11""",23.1 lbs,"['Unaware', 'Klutz']","['male', 'female']",4,4,4,5,4,7
Pawmo,#0922,"['Electric', 'Fighting']","['Psychic', 'Fairy', 'Ground']","1' 04""",14.3 lbs,"['Natural Cure', 'Volt Absorb']","['male', 'female']",4,5,3,3,3,5
Shaymin,#0492,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","0' 08""",4.6 lbs,Natural Cure,Unknown,6,6,6,6,6,6
Alakazam,#0065,Psychic,"['Ghost', 'Dark', 'Bug']","4' 11""",105.8 lbs,"['Inner Focus', 'Synchronize']","['male', 'female']",4,3,3,8,6,8
Bouffalant,#0626,Normal,Fighting,"5' 03""",208.6 lbs,"['Reckless', 'Sap Sipper']","['male', 'female']",6,7,6,3,6,4
Diglett,#0050,Ground,"['Water', 'Grass', 'Ice']","0' 08""",1.8 lbs,"['Sand Veil', 'Arena Trap']","['male', 'female']",1,4,2,3,3,6
Vanillite,#0582,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","1' 04""",12.6 lbs,"['Snow Cloak', 'Ice Body']","['male', 'female']",3,3,3,4,4,3
Sneasler,#0903,"['Fighting', 'Poison']","['Psychic', 'Flying', 'Ground']","4' 03""",94.8 lbs,,"['male', 'female']",5,8,4,3,5,8
Bulbasaur,#0001,"['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","2' 04""",15.2 lbs,Overgrow,"['male', 'female']",3,3,3,4,4,3
Golduck,#0055,Water,"['Grass', 'Electric']","5' 07""",168.9 lbs,"['Damp', 'Cloud Nine']","['male', 'female']",5,5,5,6,5,5
Rayquaza,#0384,"['Dragon', 'Flying']","['Fairy', 'Dragon', 'Ice', 'Rock']","23' 00""",455.3 lbs,Air Lock,Unknown,7,9,6,9,6,6
Morgrem,#0860,"['Dark', 'Fairy']","['Steel', 'Fairy', 'Poison']","2' 07""",27.6 lbs,"['Frisk', 'Prankster']",male,4,4,3,5,4,5
Tirtouga,#0564,"['Water', 'Rock']","['Grass', 'Electric', 'Fighting', 'Ground']","2' 04""",36.4 lbs,"['Sturdy', 'Solid Rock']","['male', 'female']",4,5,7,4,3,2
Ho-Oh,#0250,"['Fire', 'Flying']","['Water', 'Electric', 'Rock']","12' 06""",438.7 lbs,Pressure,Unknown,7,8,6,7,"['1', '0']",6
Ditto,#0132,Normal,Fighting,"1' 00""",8.8 lbs,Limber,Unknown,3,3,3,3,3,3
Burmy,#0412,Bug,"['Fire', 'Flying', 'Rock']","0' 08""",7.5 lbs,Shed Skin,"['male', 'female']",3,2,3,2,3,3
Capsakid,#0951,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 00""",6.6 lbs,"['Chlorophyll', 'Insomnia']","['male', 'female']",3,4,3,4,3,3
Deino,#0633,"['Dark', 'Dragon']","['Fairy', 'Fighting', 'Bug', 'Ice', 'Dragon']","2' 07""",38.1 lbs,Hustle,"['male', 'female']",4,4,3,3,3,3
Espeon,#0196,Psychic,"['Ghost', 'Dark', 'Bug']","2' 11""",58.4 lbs,Synchronize,"['male', 'female']",4,4,4,8,6,7
Gulpin,#0316,Poison,"['Psychic', 'Ground']","1' 04""",22.7 lbs,"['Liquid Ooze', 'Sticky Hold']","['male', 'female']",5,3,4,3,4,3
Rotom,#0479,"['Electric', 'Ghost']","['Ghost', 'Dark', 'Ground']","1' 00""",0.7 lbs,Levitate,Unknown,3,3,5,6,5,6
Araquanid,#0752,"['Water', 'Bug']","['Flying', 'Electric', 'Rock']","5' 11""",180.8 lbs,Water Bubble,"['male', 'female']",4,5,6,3,8,3
Shiftry,#0275,"['Grass', 'Dark']","['Ice', 'Fire', 'Flying', 'Poison', 'Fighting', 'Fairy', 'Bug']","4' 03""",131.4 lbs,"['Chlorophyll', 'Early Bird']","['male', 'female']",6,6,4,6,4,5
Unown,#0201,Psychic,"['Ghost', 'Dark', 'Bug']","1' 08""",11.0 lbs,Levitate,Unknown,3,5,3,5,3,3
Swellow,#0277,"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","2' 04""",43.7 lbs,Guts,"['male', 'female']",4,5,4,5,3,8
Espathra,#0956,Psychic,"['Ghost', 'Dark', 'Bug']","6' 03""",198.4 lbs,"['Frisk', 'Opportunist']","['male', 'female']",6,4,4,6,4,7
Beartic,#0614,Ice,"['Fire', 'Steel', 'Fighting', 'Rock']","8' 06""",573.2 lbs,"['Snow Cloak', 'Slush Rush']","['male', 'female']",6,8,5,5,5,3
Totodile,#0158,Water,"['Grass', 'Electric']","2' 00""",20.9 lbs,Torrent,"['male', 'female']",3,4,4,3,3,3
Golem,#0076,"['Rock', 'Ground']","['Steel', 'Fighting', 'Water', 'Ice', 'Grass', 'Ground']","4' 07""",661.4 lbs,"['Rock Head', 'Sturdy']","['male', 'female']",5,8,8,4,4,3
Pinsir,#0127,Bug,"['Fire', 'Flying', 'Rock']","4' 11""",121.3 lbs,"['Hyper Cutter', 'Mold Breaker']","['male', 'female']",4,8,6,4,5,5
Eldegoss,#0830,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 08""",5.5 lbs,"['Regenerator', 'Cotton Down']","['male', 'female']",4,3,6,5,8,4
Grookey,#0810,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 00""",11.0 lbs,Overgrow,"['male', 'female']",3,4,3,3,4,3
Mawile,#0303,"['Steel', 'Fairy']","['Fire', 'Ground']","2' 00""",25.4 lbs,"['Intimidate', 'Hyper Cutter']","['male', 'female']",3,5,5,4,4,3
Nidorino,#0033,Poison,"['Psychic', 'Ground']","2' 11""",43.0 lbs,"['Poison Point', 'Rivalry']",male,4,5,4,4,4,4
Leavanny,#0542,"['Bug', 'Grass']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock', 'Bug']","3' 11""",45.2 lbs,"['Swarm', 'Chlorophyll']","['male', 'female']",5,7,5,5,5,6
Zarude,#0893,"['Dark', 'Grass']","['Fire', 'Flying', 'Fighting', 'Ice', 'Poison', 'Fairy', 'Bug']","5' 11""",154.3 lbs,Leaf Guard,Unknown,7,8,7,5,6,7
Armaldo,#0348,"['Rock', 'Bug']","['Steel', 'Water', 'Rock']","4' 11""",150.4 lbs,Battle Armor,"['male', 'female']",5,8,6,5,5,3
Rockruff,#0744,Rock,"['Water', 'Steel', 'Grass', 'Fighting', 'Ground']","1' 08""",20.3 lbs,"['Keen Eye', 'Vital Spirit', 'Own Tempo']","['male', 'female']",3,4,3,2,3,4
Glimmora,#0970,"['Rock', 'Poison']","['Steel', 'Water', 'Psychic', 'Ground']","4' 11""",99.2 lbs,Toxic Debris,"['male', 'female']",5,4,6,8,5,6
Trapinch,#0328,Ground,"['Water', 'Grass', 'Ice']","2' 04""",33.1 lbs,"['Arena Trap', 'Hyper Cutter']","['male', 'female']",3,6,3,3,3,1
Seaking,#0119,Water,"['Grass', 'Electric']","4' 03""",86.0 lbs,"['Swift Swim', 'Water Veil']","['male', 'female']",5,6,4,4,5,4
Gliscor,#0472,"['Ground', 'Flying']","['Water', 'Ice']","6' 07""",93.7 lbs,"['Sand Veil', 'Hyper Cutter']","['male', 'female']",5,6,8,3,5,6
Cherubi,#0420,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 04""",7.3 lbs,Chlorophyll,"['male', 'female']",3,3,3,4,4,3
Electrode,#0101,Electric,Ground,"3' 11""",146.8 lbs,"['Static', 'Soundproof']",Unknown,4,3,5,5,5,9
Wurmple,#0265,Bug,"['Fire', 'Flying', 'Rock']","1' 00""",7.9 lbs,Shield Dust,"['male', 'female']",3,3,3,2,2,2
Wobbuffet,#0202,Psychic,"['Ghost', 'Dark', 'Bug']","4' 03""",62.8 lbs,Shadow Tag,"['male', 'female']","['1', '2']",2,4,2,4,2
Watchog,#0505,Normal,Fighting,"3' 07""",59.5 lbs,"['Keen Eye', 'Illuminate']","['male', 'female']",4,5,5,4,5,5
Talonflame,#0663,"['Fire', 'Flying']","['Water', 'Electric', 'Rock']","3' 11""",54.0 lbs,Flame Body,"['male', 'female']",5,5,5,5,5,8
Palossand,#0770,"['Ghost', 'Ground']","['Ghost', 'Dark', 'Grass', 'Water', 'Ice']","4' 03""",551.2 lbs,Water Compaction,"['male', 'female']",5,5,7,6,5,3
Dudunsparce,#0982,Normal,Fighting,"11' 10""",86.4 lbs,"['Run Away', 'Serene Grace']","['male', 'female']",8,6,5,5,5,4
Heliolisk,#0695,"['Electric', 'Normal']","['Fighting', 'Ground']","3' 03""",46.3 lbs,"['Sand Veil', 'Dry Skin']","['male', 'female']",4,4,4,7,6,7
Shroodle,#0944,"['Poison', 'Normal']","['Psychic', 'Ground']","0' 08""",1.5 lbs,"['Unburden', 'Pickpocket']","['male', 'female']",3,4,3,3,3,5
Arctozolt,#0881,"['Electric', 'Ice']","['Fire', 'Ground', 'Fighting', 'Rock']","7' 07""",330.7 lbs,"['Static', 'Volt Absorb']",Unknown,6,6,6,5,4,6
Onix,#0095,"['Rock', 'Ground']","['Steel', 'Fighting', 'Water', 'Ice', 'Grass', 'Ground']","28' 10""",463.0 lbs,"['Rock Head', 'Sturdy']","['male', 'female']",3,3,"['1', '0']",2,3,5
Leafeon,#0470,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","3' 03""",56.2 lbs,Leaf Guard,"['male', 'female']",4,7,8,4,4,6
Teddiursa,#0216,Normal,Fighting,"2' 00""",19.4 lbs,"['Pickup', 'Quick Feet']","['male', 'female']",4,5,3,3,3,3
Turtonator,#0776,"['Fire', 'Dragon']","['Ground', 'Rock', 'Dragon']","6' 07""",467.4 lbs,Shell Armor,"['male', 'female']",4,5,8,6,5,3
Dustox,#0269,"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","3' 11""",69.7 lbs,Shield Dust,"['male', 'female']",4,3,5,3,6,4
Scolipede,#0545,"['Bug', 'Poison']","['Fire', 'Psychic', 'Flying', 'Rock']","8' 02""",442.0 lbs,"['Swarm', 'Poison Point']","['male', 'female']",4,6,6,4,5,7
Parasect,#0047,"['Bug', 'Grass']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock', 'Bug']","3' 03""",65.0 lbs,"['Effect Spore', 'Dry Skin']","['male', 'female']",4,6,5,4,5,2
Cofagrigus,#0563,Ghost,"['Ghost', 'Dark']","5' 07""",168.7 lbs,Mummy,"['male', 'female']",4,3,9,6,7,2
Wo-Chien,#1001,"['Dark', 'Grass']","['Fire', 'Flying', 'Fighting', 'Ice', 'Poison', 'Fairy', 'Bug']","4' 11""",163.6 lbs,Tablets of Ruin,Unknown,5,5,6,6,8,5
Fidough,#0926,Fairy,"['Steel', 'Poison']","1' 00""",24.0 lbs,Own Tempo,"['male', 'female']",3,4,5,2,4,4
Flittle,#0955,Psychic,"['Ghost', 'Dark', 'Bug']","0' 08""",3.3 lbs,"['Frisk', 'Anticipation']","['male', 'female']",2,3,2,4,2,5
Greninja,#0658,"['Water', 'Dark']","['Fairy', 'Grass', 'Electric', 'Fighting', 'Bug']","4' 11""",88.2 lbs,Torrent,"['male', 'female']",5,6,4,7,5,8
Salandit,#0757,"['Poison', 'Fire']","['Water', 'Psychic', 'Ground', 'Rock']","2' 00""",10.6 lbs,Corrosion,"['male', 'female']",3,3,3,5,3,5
Skorupi,#0451,"['Poison', 'Bug']","['Fire', 'Psychic', 'Flying', 'Rock']","2' 07""",26.5 lbs,"['Sniper', 'Battle Armor']","['male', 'female']",3,3,6,2,4,4
Mr. Mime,#0122,"['Psychic', 'Fairy']","['Ghost', 'Steel', 'Poison']","4' 03""",120.2 lbs,"['Soundproof', 'Filter']","['male', 'female']",3,3,4,6,8,6
Shuppet,#0353,Ghost,"['Ghost', 'Dark']","2' 00""",5.1 lbs,"['Insomnia', 'Frisk']","['male', 'female']",3,5,3,4,2,3
Iron Hands,#0992,"['Fighting', 'Electric']","['Psychic', 'Fairy', 'Ground']","5' 11""",839.3 lbs,Quark Drive,Unknown,"['1', '0']",9,7,3,4,3
Baxcalibur,#0998,"['Dragon', 'Ice']","['Steel', 'Fairy', 'Rock', 'Fighting', 'Dragon']","6' 11""",463.0 lbs,Thermal Exchange,"['male', 'female']",7,9,6,5,6,6
Dwebble,#0557,"['Bug', 'Rock']","['Steel', 'Water', 'Rock']","1' 00""",32.0 lbs,"['Sturdy', 'Shell Armor']","['male', 'female']",3,4,5,3,3,4
Gastrodon,#0423,"['Water', 'Ground']",Grass,"2' 11""",65.9 lbs,"['Sticky Hold', 'Storm Drain']","['male', 'female']",7,5,4,6,5,3
Palpitoad,#0536,"['Water', 'Ground']",Grass,"2' 07""",37.5 lbs,"['Hydration', 'Swift Swim']","['male', 'female']",5,4,4,4,4,5
Enamorus,#0905,"['Fairy', 'Flying']","['Steel', 'Poison', 'Electric', 'Ice', 'Rock']","5' 03""",105.8 lbs,,female,5,7,5,8,5,7
Bisharp,#0625,"['Dark', 'Steel']","['Fire', 'Fighting', 'Ground']","5' 03""",154.3 lbs,"['Inner Focus', 'Defiant']","['male', 'female']",4,8,6,4,5,5
Mimikyu,#0778,"['Ghost', 'Fairy']","['Ghost', 'Steel']","0' 08""",1.5 lbs,Disguise,"['male', 'female']",4,6,5,3,7,6
Aggron,#0306,"['Steel', 'Rock']","['Water', 'Fighting', 'Ground']","6' 11""",793.7 lbs,"['Rock Head', 'Sturdy']","['male', 'female']",5,7,"['1', '1']",4,4,3
Cacnea,#0331,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","1' 04""",113.1 lbs,Sand Veil,"['male', 'female']",3,5,3,5,3,3
Pheromosa,#0795,"['Bug', 'Fighting']","['Fire', 'Psychic', 'Flying', 'Fairy']","5' 11""",55.1 lbs,Beast Boost,Unknown,5,9,3,9,3,9
Corviknight,#0823,"['Flying', 'Steel']","['Fire', 'Electric']","7' 03""",165.3 lbs,"['Pressure', 'Unnerve']","['male', 'female']",6,6,7,4,5,4
Froslass,#0478,"['Ice', 'Ghost']","['Steel', 'Ghost', 'Fire', 'Dark', 'Rock']","4' 03""",58.6 lbs,Snow Cloak,female,5,5,5,5,5,7
Farigiraf,#0981,"['Normal', 'Psychic']","['Dark', 'Bug']","10' 06""",352.7 lbs,"['Cud Chew', 'Armor Tail']","['male', 'female']",8,6,5,7,5,4
Chikorita,#0152,Grass,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","2' 11""",14.1 lbs,Overgrow,"['male', 'female']",3,3,4,3,4,3
Yveltal,#0717,"['Dark', 'Flying']","['Fairy', 'Electric', 'Ice', 'Rock']","19' 00""",447.5 lbs,Dark Aura,Unknown,8,8,6,8,6,6
Ponyta,#0077,Fire,"['Water', 'Ground', 'Rock']","3' 03""",66.1 lbs,"['Run Away', 'Flash Fire']","['male', 'female']",3,5,4,4,4,6
Smoliv,#0928,"['Grass', 'Normal']","['Ice', 'Fire', 'Flying', 'Poison', 'Fighting', 'Bug']","1' 00""",14.3 lbs,Early Bird,"['male', 'female']",3,3,3,4,3,2
